identifier,uuid.x,createdBy,Date,Type,Type_Adela,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn,uuid.y
8400,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,mound marked as 2 m tall,Annual agriculture,Annual agriculture,Hilltop,42.34735609,26.6436895,4688405.416,470652.2205,3,101,NA,Southwest,#354-355,files/app/b3a68ae0-958a-40f4-8407-f94d333fedd1_image-1505465613925.original.jpg,2,34,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last week,NA,NA,NA,POINT(470652.220456 4688405.416363),10000115054700001e17
8401,1.00E+18,Adela Sobotkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,no geodetic marker,Annual agriculture,Annual agriculture,Hilltop,42.33599817,26.64388289,4687144.215,470662.8702,3,102,185.3,Southeast,#358-359,files/app/c897306d-1c6b-43a9-a8b3-3e002ae7f2ba_image-1505469164766.original.jpg,0.8,30,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last week,NA,NA,NA,POINT(470662.870212 4687144.215145),10000115054700001e17
8402,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,mound with geodetic marker and water station,Scrub,Scrub,Hilltop,42.40441828,26.56017847,4694773.592,463806.5424,3,103,NA,Northwest,NA,BurialMound/Photo/8402_1.jpg,1.9,28,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Construction,NA,3 - impaired,Infrastructure,NA,NA,water station built on E side of mound causing dam,NA,POINT(463806.542399 4694773.592084),10000115058000003e17
8403,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,well preserved mound next to a reservoir,Annual agriculture,Scrub,Hilltop,42.39552412,26.56807823,4693782.677,464451.6049,3,104,149,Southwest,#446-447,BurialMound/Photo/8403_1.jpg,2.5,35,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,animal turbation,2 - good,Animal activity,Last month,"01,oval,2.5,2,1,old and overgrown;02,rect,5,1,0.5,old and overgrown",NA,BurialMound/CRMPhotos/8403_3.jpg,POINT(464451.604872 4693782.676761),10000115058000003e17
8404,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,Neichova mogila,Annual agriculture,Annual agriculture,Hilltop,42.40102452,26.58878251,4694384.97,466158.5845,3,105,NA,East,#450-452,BurialMound/Photo/8404_1.jpg,1.5,28,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(466158.584548 4694384.970106),10000115058000003e17
8405,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,"Mityova mogila, geodetic monument on top of low mound",Annual agriculture,Pasture (grassland) (with a 4 m grass patch),"Hilltop (ridge , excellent visibility within 10 km radius)",42.40835322,26.60348546,4695192.975,467372.3729,3,106,185.6,Northeast,#453,BurialMound/Photo/8405_1.jpg,0.6,16,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(467372.372939 4695192.975172),10000115058000003e17
8406,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NE of reservoir with soilmark and field stones in not-stony field,Annual agriculture,Annual agriculture,Upper slope,42.39285618,26.60375689,4693472.128,467386.6837,3,107,NA,East,#455,BurialMound/Photo/8406_1.jpg,1,20,0.8,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(467386.683655 4693472.127897),10000115058099997e17
8407,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,kurgan Mandalicka mogila,Annual agriculture,"Pasture (grassland) (scrub only on 10% out mound, otherwise it''s stubble from the field)",Hilltop,42.38278295,26.60431618,4692353.416,467427.5096,3,108,154.7,Southwest,#462-3,BurialMound/Photo/8407_1.jpg,1.75,30,NA,25,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,3 - impaired,Animal activity,Last month,NA,"geodetic point pulled out and over, mound on it last kegs",NA,POINT(467427.509605 4692353.415984),10000115058099997e17
8408,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Upper slope,42.38367898,26.58384107,4692460.957,465742.493,3,109,NA,North,#470,BurialMound/Photo/8408_1.jpg,2.2,36,NA,NA,NA,NA,NA,one waster in the vicinity,No,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last week (ploughed as we stand on it),NA,NA,NA,POINT(465742.493035 4692460.957459),10000115058099997e17
8409,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Upper slope,42.38180441,26.57647614,4692255.806,465135.1859,3,110,146.4,Northwest,#473-474,BurialMound/Photo/8409_1.jpg,0.9,17,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(465135.185941 4692255.806123),10000115058099997e17
8410,1.00E+18,Adela Sobotkova,19-Sep,Surface Scatter,Surface Scatter,Survey,SE of reservoir,Annual agriculture,Annual agriculture,Lower slope,42.37246589,26.57889887,4691217.899,465329.4913,3,111,NA,Northwest,#479-480,BurialMound/Photo/8410_1.jpg,0.5,100,NA,NA,NA,NA,Artefact scatter,Byzantine pottery and ACC,Yes,Byzantine-Ottoman pottery,BurialMound/AssociatedFeatureOrMaterialPhoto/8410_1.jpg,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(465329.491281 4691217.899299),10000115058199999e17
8411,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,mound with distinct light soilmark,Annual agriculture,Annual agriculture,Hilltop,42.37267683,26.58172026,4691240.175,465561.9005,3,112,NA,East,#481-483,BurialMound/Photo/8411_1.jpg,1.4,25,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,ploughed up mound,NA,POINT(465561.900486 4691240.174638),10000115058199999e17
8412,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,"low mound next to 8411, marked by soilmark",Annual agriculture,Annual agriculture,Hilltop,42.37281273,26.58218179,4691255.078,465599.9731,3,113,NA,Northeast,#484,BurialMound/Photo/8412_1.jpg,0.3,15,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(465599.973108 4691255.078101),10000115058199999e17
8413,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.37039156,26.59465723,4690981.267,466625.8272,3,114,NA,Southeast,#485,BurialMound/Photo/8413_1.jpg,0.3,15,NA,NA,NA,NA,NA,one red fw fragment,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(466625.827195 4690981.26665),10000115058199999e17
8414,1.00E+18,Adela Sobotkova,19-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.36982063,26.59540137,4690917.581,466686.7954,3,116,NA,Southeast,#486,BurialMound/Photo/8414_1.jpg,1.15,25,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last week,NA,NA,NA,POINT(466686.795393 4690917.581284),10000115058199999e17
8415,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,2,Pasture (grassland),Pasture (grassland),Hilltop (edge of a cliff!),42.30640574,26.55841562,4683891.417,463604.9649,3,116,NA,Northeast,#504-505,BurialMound/Photo/8415_1.jpg,1.1,13,NA,10,NA,NA,NA,NA,No,NA,NA,3 - damaged,Post-depositional,looting,3 - impaired,Looting,Last month,"01,rect,1.5,0.8,0.8,fresh and manual",NA,BurialMound/CRMPhotos/8415_2.jpg,POINT(463604.964936 4683891.4169),1.00E+33
8416,1.00E+18,Adela Sobotkova,20-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Other (explain in notes) (sand quarry at work),Other (explain in notes),Hilltop,42.3086655,26.56087286,4684141.282,463808.7836,3,117,NA,Southeast,#506,BurialMound/Photo/8416_1.jpg,0,0,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Excavation,NA,5- none or nearly none,Infrastructure,Last week,NA,NA,NA,POINT(463808.783635 4684141.282011),1.00E+33
8417,1.00E+18,Adela Sobotkova,20-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Other (explain in notes) (sand quarry),Other (explain in notes),Hilltop,42.30872371,26.56085736,4684147.752,463807.5395,3,117,134,Southeast,#506,BurialMound/Photo/8417_1.jpg,0,0,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Excavation,NA,5- none or nearly none,Infrastructure,Last week,NA,NA,NA,POINT(463807.539522 4684147.751916),1.00E+33
8418,1.00E+18,Adela Sobotkova,20-Sep,Settlement Mound,Surface Scatter,Legacy verification,settlement mound,Pasture (grassland),Pasture (grassland),Hilltop,42.31092922,26.55627709,4684394.599,463431.3267,3,119,NA,Northeast,NA,BurialMound/Photo/8418_1.jpg,1,100,NA,NA,NA,NA,NA,"coarse pottery,daub",Yes,Bronze age,NA,2 - minor damage,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(463431.326685 4684394.599066),1.00E+33
8419,1.00E+18,Adela Sobotkova,20-Sep,Surface Scatter,Surface Scatter,Survey,"EIA,LIA scatter with some prehistory",Annual agriculture,Annual agriculture,Lower slope,42.3131529,26.55576631,4684641.725,463390.5202,3,120,NA,Southeast,#528-531,BurialMound/Photo/8419_1.jpg,0,100,NA,NA,NA,NA,Artefact scatter,"pottery, no ac",Yes,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,BurialMound/CRMPhotos/8419_1.jpg,POINT(463390.520205 4684641.7251),1.00E+33
8420,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,top of a cliff,Scrub,Scrub,Hilltop,42.31601563,26.55573381,4684959.604,463389.5011,3,121,153.3,North,#533-535,BurialMound/Photo/8420_1.jpg,3.5,20,NA,NA,NA,NA,Loose artefacts,late RM pottery fragment,Yes,NA,BurialMound/AssociatedFeatureOrMaterialPhoto/8420_1.jpg,3 - damaged,Looting,NA,3 - impaired,Looting,Last year,"01, rect,3,0.8,1;02,hole",NA,BurialMound/CRMPhotos/8420_1.jpg,POINT(463389.501094 4684959.603949),10000115059000001e17
8421,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,"mound 50 m off the point, possibly secondary pile from previous excavation, profile looks like riverine sediment rather than manmade mound",Scrub,Pasture (grassland),Hilltop,42.31782542,26.55479563,4685160.958,463313.2406,3,122,NA,Southeast,#536-537,BurialMound/Photo/8421_1.jpg,2.2,16,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,4 - minimal,Looting,Last year,"01, round,2.5,2.2,old and dry but not overgrown",NA,BurialMound/CRMPhotos/8421_1.jpg,POINT(463313.240576 4685160.958396),10000115059000001e17
8422,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,mound with big RT and a tortoise,Scrub,Pasture (grassland),Hilltop,42.31957814,26.55423976,4685355.812,463268.4534,3,123,NA,Northeast,"#540,543",BurialMound/Photo/8422_1.jpg,2.5,22,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,3 - impaired,Looting,Last month,"01,round,2.5,2.5,looks machine excavated",NA,BurialMound/CRMPhotos/8422_1.jpg,POINT(463268.453386 4685355.81205),10000115059000001e17
8423,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Scrub,Pasture (grassland),Hilltop,42.31870457,26.55143292,4685260.03,463036.6521,3,124,NA,North,#564-6,BurialMound/Photo/8423_1.jpg,2.3,25,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Looting,NA,3 - impaired,Looting,Unknown,"01,round,3,1,old and overgrown",NA,BurialMound/CRMPhotos/8423_1.jpg,POINT(463036.652082 4685260.030295),10000115059000001e17
8424,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,tiny mound with a ditch around,Pasture (grassland),Pasture (grassland),Hilltop,42.31744062,26.54713153,4685121.564,462681.4564,3,125,NA,North,#567,BurialMound/Photo/8424_1.jpg,1,8,NA,NA,NA,NA,"Other (1.5 m wide, 0.3m deep ditch around it)",NA,No,NA,NA,2 - minor damage,Post-depositional,NA,2 - good,Topographic or post-depositional,Unknown,NA,NA,NA,POINT(462681.456446 4685121.564299),10000115059000001e17
8425,1.00E+18,Adela Sobotkova,20-Sep,Settlement Mound,Surface Scatter,Legacy verification,settlement mound Tenevo,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.3211821,26.55681622,4685532.799,463481.6866,4,12,NA,East,"#571-572,551,575",BurialMound/Photo/8425_1.jpg,9,100,NA,NA,NA,NA,Loose artefacts,"prehistoric polished shiny pottery, poor visibility, one daub, 2 lithic axes!",No,"Chalcolithic, Bronze?",BurialMound/AssociatedFeatureOrMaterialPhoto/8425_1.jpg,3 - damaged,Looting,NA,2 - good,Looting,Unknown,"01,round,5,1, old overgrown",old large trenches,NA,POINT(463481.686595 4685532.799499),10000115059000001e17
8426,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Scrub,Scrub,Hilltop,42.33086066,26.54369962,4686613.176,462406.6404,3,126,NA,South,#577,BurialMound/Photo/8426_1.jpg,3,20,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,2 - good,Topographic or post-depositional,Unknown,NA,"poor access due to scrub, old overgrown trenches seen through the scrub",NA,POINT(462406.640416 4686613.176022),1.00E+33
8427,1.00E+18,Adela Sobotkova,20-Sep,Extinct Burial Mound,Uncertain Mound,Legacy verification,mound covering a concrete construction,Scrub,Pasture (grassland),Hilltop,42.33433376,26.54253839,4686999.327,462313.0433,3,127,NA,East,#578,BurialMound/Photo/8427_1.jpg,1.7,14,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Construction,NA,4 - minimal,Infrastructure,Unknown,NA,NA,NA,POINT(462313.043287 4686999.326967),1.00E+33
8428,1.00E+18,Adela Sobotkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,"geodetic marker on top, ditch around",Pasture (grassland),Pasture (grassland),Hilltop,42.33623057,26.54119147,4687210.539,462203.2157,3,128,NA,Northeast,#580,BurialMound/Photo/8428_1.jpg,1.65,18,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Construction,geodetic marker,2 - good,Infrastructure,Unknown,NA,NA,NA,POINT(462203.21575 4687210.538616),1.00E+33
8429,1.00E+18,Adela Sobotkova,25-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Scrub,Valley Bottom or Plain,42.57131574,26.52358729,4713321.901,460899.4857,3,0,NA,West,#586-587,BurialMound/Photo/8429_2.jpg,1.7,25,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Excavation,NA,3 - impaired,Other (specify in Annotation) (garbage disposal),Last year,"01,crescent,12,4,1.5, SE half of mound seems removed",NA,NA,POINT(460899.485734 4713321.901379),10000115063199997e17
8430,1.00E+18,Adela Sobotkova,25-Sep,Burial Mound,Burial Mound,Legacy verification,zawoi centre,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.56432801,26.52553615,4712545.084,461055.0876,3,0,NA,West,#588-591,BurialMound/Photo/8430_1.jpg,0.8,12,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Excavation,Development,5- none or nearly none,Looting?,Unknown,"01,round,2.5,1.2,manual residual RT on East side; whole mound has been excavated /removed previously",NA,BurialMound/CRMPhotos/8430_1.jpg,POINT(461055.087616 4712545.084464),10000115063199997e17
8431,1.00E+18,Adela Sobotkova,25-Sep,Burial Mound,Burial Mound,Legacy verification,"Zawoi, yellow soilmark",Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.56605754,26.52723127,4712736.353,461195.2988,3,NA,NA,Southeast,"#592, #593-4 photos of assistants Georgyi i Bozhidar of Zawoi",BurialMound/Photo/8431_1.jpg,0.5,18,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(461195.298774 4712736.353239),10000115063299999e17
8432,1.00E+18,Adela Sobotkova,25-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Scrub,Scrub,Valley Bottom or Plain,42.55174293,26.52765014,4711146.667,461220.8166,3,0,NA,North,scrubby excavated? mound,BurialMound/Photo/8432_1.jpg,3,40,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Excavation,NA,3 - impaired,Unknown,Unknown,NA,no visible trenches but mound looks excavated and repiled,NA,POINT(461220.816592 4711146.667174),10000115063299999e17
8433,1.00E+18,Adela Sobotkova,25-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,inaccessible mound location inside photovoltaic field,Other (explain in notes) (photovoltaic),Other (explain in notes),Valley Bottom or Plain,42.53117443,26.55156025,4708852.08,463171.7166,3,0,NA,Southeast,#598,BurialMound/Photo/8433_1.jpg,0,0,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Urban development,NA,5- none or nearly none,Infrastructure,Other (check satellite imagery),NA,Photovoltaic station,NA,POINT(463171.7166 4708852.079669),10000115063299999e17
8434,1.00E+18,Adela Sobotkova,25-Sep,Burial Mound,Burial Mound,Legacy verification,"Eneva mogila, one more 1.6â‰¤ m high cc a 160m to ESE in annual agr. in panorama and 613-614; after loading past layers I see it''s been recorded in 2010, as 9216",Annual agriculture,Pasture (grassland),Hilltop,42.51378619,26.60092828,4706901.033,467217.0011,3,0,NA,Northeast,"#603, facing NE, 613",BurialMound/Photo/8434_1.jpg,5,40,NA,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,Looting,NA,1 - full,Looting,Last year,"01,round,2.5,1.5,this year?",NA,BurialMound/CRMPhotos/8434_1.jpg,POINT(467217.001062 4706901.032858),10000115063299999e17
8436,1.00E+18,Adela Sobotkova,25-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,"next to road under power lines, potentially there''s a second one further to E, equal size",Annual agriculture,Annual agriculture,Hilltop,42.45325746,26.5726067,4700191.351,464856.5717,3,0,NA,Northeast,#617-618,BurialMound/Photo/8436_1.jpg,0.8,25,NA,NA,NA,very sprawling mound,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(464856.571698 4700191.351402),10000115063299999e17
8437,1.00E+18,Adela Sobotkova,25-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,"next to road under power lines, second of two",Annual agriculture,Annual agriculture,Hilltop,42.45325746,26.5726067,4700191.351,464856.5717,NA,0,NA,Northeast,#618,BurialMound/Photo/8437_1.jpg,0.7,20,NA,NA,NA,very sprawling mound,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,NA,10000115063499998e17
9071,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Legacy verification,elevation marker on top,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.27833408,26.24963991,4680952.653,438128.3343,3,74,NA,West,NA,files/app/17ad15dc-bdc0-4ed4-8609-ed74ba18b184_image-1505716400139.original.jpg,1.5,50,NA,50,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Construction,NA,3 - impaired,Other (specify in Annotation) (building activities),Unknown,"01,irregular,40,5,0.5, shallow trench all over E part of mound",NA,files/app/0fc9ed59-aef1-49e3-b000-298bc224b5e8_image-1505716950434.original.jpg - files/app/50caebac-52d6-4bdb-baba-0947a3262f0b_image-1505717081828.original.jpg,POINT(438128.334307 4680952.652933),10000215057200005e17
9338,1.00E+18,Bara Weissova,18-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.30934423,26.25672752,4684390.754,438742.8127,3,73,NA,North,NA,files/app/183d3538-8678-47ce-a1f7-c4e01805b75c_image-1505713572818.original.jpg,1.2,50,NA,45,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(438742.812742 4684390.754434),10000215057099999e17
9400,1.00E+18,Vera Dolezalkova,20-Sep,Burial Mound,Burial Mound,Legacy verification,Kochomova mogila,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.44528436,26.27756544,4699470.352,440588.4763,3,146,158.3,East,"photos 6,7",BurialMound/Photo/9400_1.jpg,1.8,55,NA,50,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(440588.476281 4699470.351716),1.00E+33
9515,1.00E+18,Vera Dolezalkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.4007734,26.22150291,4694568.702,435932.6798,3,24,206.8,North,Photo #1,files/app/04f0fd6d-1668-4cf8-a3d1-f183a52800e8_image-1505103862591.original.jpg,1.6,40,1.4,42,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(435932.679835 4694568.701546),10000315051000002e17
9516,1.00E+18,Vera Dolezalkova,11-Sep,Uncertain Mound,Uncertain Mound,Legacy verification,"very flat and hidden in a scrub, limestones spread within the scrub",Annual agriculture,Scrub,Valley Bottom or Plain,42.40493326,26.2302587,4695024.037,436657.437,3,25,NA,East,"bigger limestone holders 15cm max spread around in scrub
photos #2-5",files/app/2584fdd2-0e4f-4177-981c-2931430f1fa5_image-1505104867431.original.jpg,1,14,NA,8,NA,uncertain height,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,4 - minimal,Agriculture,Unknown,NA,"pile of limestone stones in the corner of the field, gathered from the field, possibly from the plowed up mound, placed about 25 m West",NA,POINT(436657.437045 4695024.03736),10000315051000002e17
9528,1.00E+18,Vera Dolezalkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Hilltop,42.4074671,26.19737823,4695330.427,433954.3209,3,37,NA,South,photo #66-69,files/app/13b7bf8c-a071-42e6-9da6-a1fe11db1821_image-1505120261352.original.jpg,1.9,40,1.7,35,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,2 - good,NA,NA,"[01,rectangular,5,2.5,1.5,east-west cut into east half]",NA,files/app/f1d94158-cf65-4832-bb98-d44218d0fcca_image-1505120313942.original.jpg,POINT(433954.320908 4695330.427175),10000315051200001e17
9529,1.00E+18,Vera Dolezalkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Hilltop,42.40738666,26.19842975,4695320.679,434040.7641,96,38,NA,East,"northeast of mound rectangular Robbers trench
photo #70-76",files/app/668018f8-69c4-4174-90e2-30bf096530f1_image-1505120661759.original.jpg,1.9,30,1.7,25,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,4 - minimal,Looting,Unknown,"[01,irregular,5,5,1.5,see the drawing]",NA,files/app/9eceeb51-8880-4303-bcff-1964a9dcbba1_image-1505120731163.original.jpg - files/app/b2cdf406-56e5-4c6c-8fd1-bd7ca0bd2746_image-1505120936958.original.jpg,POINT(434040.764137 4695320.678546),10000315051200001e17
9530,1.00E+18,Vera Dolezalkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Pasture (grassland),Lower slope,42.40517653,26.19912201,4695074.734,434095.4153,3,39,NA,South,photo #77-85,files/app/49988176-bb77-4205-a04f-c3c347832f17_image-1505121273169.original.jpg,4,42,3.8,40,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,4 - minimal,Looting,Unknown,"[01,irregular,18,10,2.5,cut in almost whole profile of the mound in ne quarter;02,trench,20,1,1,trench through the whole mound in upper west part;03,rectangular,1.2,1,1,for all Robbers trenches see drawing]
",NA,files/app/04ee0632-d55a-482b-9783-26432ae85b55_image-1505121723133.original.jpg - files/app/066d5fbc-52be-4d75-8dad-15af36a436cc_image-1505121647714.original.jpg - files/app/3b15c618-47d4-4a98-8e9e-ca5f056d9eba_image-1505121536401.original.jpg,POINT(434095.415317 4695074.73384),10000315051200001e17
9531,1.00E+18,Vera Dolezalkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Lower slope,42.40184794,26.20550889,4694700.2,434617.5412,3,40,NA,South,NA,files/app/6cb8960f-ab6b-486a-b2e7-9285b1ebca4e_image-1505122335886.original.jpg,0.8,19,0.6,16,NA,NA,NA,NA,No,NA,NA,3 - damaged,Looting,NA,4 - minimal,Looting,Unknown,"[01,irregular,8,4,0.5]",NA,files/app/389b6e01-9b0a-4cc9-9ae1-6cadddf2a246_image-1505122406574.original.jpg - files/app/c9484273-d37b-46bf-b3b4-4280c1f03805_image-1505122422853.original.jpg,POINT(434617.541209 4694700.199836),10000315051200001e17
9586,1.00E+18,Vera Dolezalkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Pasture (grassland),Lower slope,42.31814355,26.61485191,4685172.139,468262.3038,3,93,173.9,North,photo #1-2,files/app/cffbc5b7-0fc6-467f-915f-238686cb70f0_image-1505454051695.original.jpg,7,45,6,45,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,3 - impaired,Looting,Unknown,"[01, rectangular, 1.5, 1, 0.5, 3 animal holes]",NA,files/app/a82f5032-7b94-4769-9ce3-7a1821169ed4_image-1505453885221.original.jpg - files/app/e0c9ab2e-b92c-4e8f-ad13-ef9d94c7a7ff_image-1505453678716.original.jpg,POINT(468262.303824 4685172.139061),10000315054499998e17
9587,1.00E+18,Vera Dolezalkova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Pasture (grassland),Lower slope,42.31883148,26.61519642,4685248.395,468291.0384,3,94,NA,East,"photo #3
west half of mound is cut by road in north west direction and damaged by deep ploughing.",files/app/08dc028d-ec1f-47c7-bcbf-dade8fb971fa_image-1505454670488.original.jpg,2,30,NA,30,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(468291.038352 4685248.395125),10000315054499998e17
